cas_number,chemical_name,tsca_listed,cercla_rq_lbs,rcra_waste_code,rcra_characteristic,epcra_tpq_lbs
117-81-7,bis(2-Ethylhexyl) phthalate,yes,100,U028,,
117-84-0,n-Dioctylphthalate,yes,5000,U107,,
118-74-1,Hexachlorobenzene,yes,10,U127,,10000
118-96-7,2-4-6-Trinitrotoluene,yes,10,,,
119-38-0,Isopropylmethylpyrazolyl dimethylcarbamate,yes,100,P192,,500
119-90-4,"3,3'-Dimethoxybenzidine",yes,100,U091,,
119-93-7,3-3-Dimethylbenzidine,yes,10,U095,,
120-12-7,Anthracene,yes,5000,,,
120-36-5,"2,4-DP",yes,,,,
120-58-1,Isosafrole,yes,100,U141,,
120-71-8,p-Cresidine,yes,,,,
120-80-9,Catechol,yes,100,,,
120-82-1,1-2-4-Trichlorobenzene,yes,100,,,
120-83-2,2-4-Dichlorophenol,yes,100,U081,,
121-14-2,2-4-Dinitrotoluene,yes,10,U105,,
121-21-1,Pyrethrins,yes,1,,,
121-29-9,Pyrethrins,yes,1,,,
121-44-8,Triethylamine,yes,5000,U404,,
121-69-7,"N,N-Dimethylaniline",yes,100,,,
121-75-5,Malathion,yes,100,,,
122-09-8,Phentermine,yes,5000,P046,,
122-34-9,Simazine,yes,,,,
122-39-4,Diphenylamine,yes,,,,
122-42-9,Propham,yes,1000,U373,,
122-66-7,1-2-Diphenylhydrazine,yes,10,U109,,
123-31-9,Hydroquinone,yes,100,,,500
123-33-1,Maleic hydrazide,yes,5000,U148,,
123-38-6,Propionaldehyde,yes,1000,,,
123-42-2,Diacetone alcohol,yes,,,,
123-61-5,"1,3-Phenylene diisocyanate",yes,,,,
123-62-6,Propionic anhydride,yes,5000,,,
123-63-7,Paraldehyde,yes,1000,U182,,
123-72-8,Butyraldehyde,yes,,,,
123-73-9,"2-Butenal, (e)-",yes,100,U053,,1000
123-86-4,Butyl acetate,yes,5000,,,
123-91-1,1-4-Dioxane,yes,100,U108,,
123-92-2,iso-Amyl acetate,yes,5000,,,
124-04-9,Adipic acid,yes,5000,,,
124-38-9,Carbon dioxide,yes,,,,
124-40-3,Dimethylamine,yes,1000,U092,,
124-41-4,Sodium methylate,yes,1000,,,
124-48-1,Dibromochloromethane,yes,100,,,
124-65-2,Sodium cacodylate,yes,,,,100
124-73-2,Dibromotetrafluoroethane,yes,,,,
124-87-8,Picrotoxin,yes,,,,500
126-72-7,"Tris(2,3-dibromopropyl) phosphate",yes,10,U235,,
126-98-7,Methacrylonitrile,yes,1000,U152,,500
126-99-8,Chloroprene,yes,100,,,
127-18-4,Tetrachloroethylene,yes,100,U210,,
127-82-2,Zinc phenolsulfonate,yes,5000,,,
128-03-0,Potassium dimethyldithiocarbamate,yes,,,,
128-04-1,Sodium dimethyldithiocarbamate,yes,,,,
128-66-5,C.I. Vat Yellow 4,yes,,,,
129-00-0,Pyrene,yes,5000,,,1000
129-06-6,Warfarin sodium,yes,100,,,100
130-15-4,"1,4-Naphthoquinone",yes,5000,U166,,
131-11-3,Dimethyl phthalate,yes,5000,U102,,
